payment_transid,is_bad_new,billing_shipping_mismatch,c_first_address_dof,c_last_address_dof,is_rsdc_ip_cntry_match,num_logins_30_days,num_logins_7_days,num_rcpt_7_days,num_spoof_url_30day,num_vids,radd_n_vid_s_0,S_ALIAS_N_ADDED_3,S_CC_D_SINCE_OLDEST_CHG,s_cc_pct_credit,s_cc_pct_passed_randomcharge,s_dof,time_snc_last_send,CP20WRtAtoBadTxn,CP20WRtDolAtoBadTxn,CP4WRtAtoBadTxn,CP4WRtDclTxn,IPR20WRtDolAtoBadTxn,max_CP20wRtAtoCcBadTxn,max_CP20wRtDolAtoCcBadTxn,max_cross20wRtDolAtoCcBadTxn,max_cross4wRtDolDclTxn,CP20WRtAtoBadAcc_log,CP20WRtCcBadAcc_log,CP20WRtDolCcXbrBadTxn_log,CP4WRtDolBadTxn_log,ED20WRtCcBadAcc_log,CB_NUM_RATE,CB_AMT_RATE,SELLER_TRAN_BR_CNT_CC_NEW,SELLER_TRAN_BR_AMT_CC_NEW,ASP3_AMT_CC_RATE,XB_AMT_IND_RATE,XB_AMT_CB_RATE,ASP2_AMT_CB_RATE,ASP3_CNT_CB_RATE,ISSUER_DENY_AMT_PCT,edomain_acct_acct_bad_rate,cc_bin_acct_acct_bad_rlog,seller_tran_amt_bad_rlog,seller_acct_acct_bad_rlog,seller_dec_decline_rlog,edomain_tran_amt_bad_rlog,edomain_acct_acct_bad_rlog,edomain_dec_decline_rlog,ccip_cntry_tran_bad_rlog,fullname_mixcase,is_xb,s_de_area_code_match,s_has_used_ip3,s_last_name_mixcase,industry2,has_bad_vid,radd_timezone_pct_0_1,radd_timezone_pct_0_2,s_visitor_id_tof,cp_ratio_1w_uaa_dol,cp_ratio_20w_ato_dol,cp_ratio_4w_ato_dol,cp_ratio_4w_uaa_dol,ip_ratio_20w_uaa_dol,ipr_ratio_4w_ato_dol,ipr_ratio_4w_uaa_dol,snr_ratio_20w_ato_dol,snr_ratio_20w_uaa_dol
6.109802149E10,0.0,2.0,1992.0,1992.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,-1.0,-1.0,-1.0,55.0,4812954.0,1.0E-4,1.0E-4,0.0,0.0168,6.0E-4,1.0E-4,1.0E-4,0.0025,0.1081,-6.907755278982137,-6.907755278982137,-6.907755278982137,-6.907755278982137,-6.907755278982137,0.0,4.22737168717806E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.00342048664480471,-6.142056023651419,-6.907755278982137,-6.907755278982137,-4.313513762251921,-4.359993949452561,-5.67797244422788,-2.8085177215406385,-5.62430605988062,0.0,0.0,1.0,1.0,0.0,1011.0,MV01,MV01,MV01,56.0,MV01,3.1313344529,1.1255230126,3.2672064777,0.8103760265,0.7129259932,0.8820670843,MV01,MV01
6.109802636E10,0.0,0.0,938.0,938.0,1.0,14.0,2.0,0.0,0.0,15.0,1.0,0.0,535.0,0.0,0.0,782.0,1125094.0,0.0026,0.0034,0.0029,0.0684,0.0,0.0040,0.0036,0.0036,0.0684,-5.744604469176456,-5.713832810509703,-5.626821433520073,-4.3351430487750315,-6.725433722188183,0.0020,0.0028678571955863003,0.0030,0.0060,0.0040,0.0090,0.0010,0.0010,0.0010,0.182,0.00342048664480471,-6.142056023651419,-3.0256662287448663,-4.408727106956445,-2.4052825155732527,-4.359993949452561,-5.67797244422788,-2.8085177215406385,-5.62430605988062,1.0,1.0,1.0,0.0,MV01,1004.0,MV01,1.0,MV01,170.0,1.0689056884,0.913674933,0.7547103772,0.9345384274,MV01,MV01,MV01,MV01,MV01
6.1098026573E10,0.0,0.0,1929.0,130.0,1.0,22.0,6.0,4.0,0.0,61.0,1.0,0.0,507.0,0.3333333333333333,0.0,3203.0,1624.0,0.0,0.0,0.0,0.0,7.0E-4,0.0,0.0,0.0015,0.0384,-6.907755278982137,-6.907755278982137,-6.907755278982137,-6.907755278982137,-6.907755278982137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004329506489694172,-6.142056023651419,-4.832663282145677,-5.8542656615958,-3.075665036660776,-5.275156659079082,-5.4423017181298174,-4.197017109494552,-5.62430605988062,1.0,0.0,1.0,1.0,MV01,MV01,MV01,1.0,MV01,MV01,MV01,MV01,MV01,MV01,MV01,MV01,MV01,MV01,MV01
6.10980268E10,0.0,2.0,988.0,69.0,1.0,40.0,14.0,0.0,0.0,22.0,1.0,0.0,-1.0,0.3333333333333333,0.0,1224.0,3884836.0,0.0,0.0,9.0E-4,0.0392,3.0E-4,0.0,0.0,0.0028,0.0544,-6.907755278982137,-6.907755278982137,-6.907755278982137,-5.132802928070463,-6.907755278982137,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0035947982000302412,-6.142056023651419,-4.832663282145677,-5.8542656615958,-3.075665036660776,-4.9213131942816,-5.628267422895036,-2.9403828151334466,-5.62430605988062,1.0,0.0,1.0,1.0,MV01,MV01,MV01,1.0,MV01,MV01,0.0640854336,MV01,0.0876639316,0.0782140907,MV01,MV01,MV01,MV01,MV01
6.1098033955E10,0.0,0.0,220.0,220.0,1.0,5.0,2.0,1.0,0.0,5.0,1.0,0.0,211.0,0.75,0.0,239.0,430108.0,0.0010,0.0020,9.0E-4,0.0392,2.0E-4,0.0011,0.0024,0.0025,0.0467,-6.907755278982137,-6.907755278982137,-5.713832810509703,-5.132802928070463,-6.812445099177812,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,0.0024930937445934147,-6.142056023651419,-3.886898276269303,-5.490701520370885,-2.955128396900427,-4.72981749230301,-5.994230872021577,-2.989924082238998,-5.62430605988062,0.0,1.0,0.0,1.0,0.0,32.0,MV01,1.0,MV01,0.0,0.1922563007,0.2445352485,0.2629917947,0.2346422722,MV01,MV01,MV01,MV01,MV01
6.1098049428E10,0.0,0.0,753.0,753.0,1.0,5.0,4.0,1.0,0.0,10.0,1.0,0.0,441.0,0.4,0.0,3539.0,97672.0,1.0E-4,2.0E-4,0.0,5.0E-4,0.0,1.0E-4,2.0E-4,0.0022,0.0401,-6.907755278982137,-6.907755278982137,-6.907755278982137,-6.907755278982137,-6.812445099177812,0.0,1.4854325565957443E-4,0.0,0.0,0.0,0.0030,0.0,0.0,0.0,0.0,0.003112602853473601,-6.142056023651419,-5.833004479271067,-6.907755278982137,-6.907755278982137,-4.095215496138299,-5.772295972444572,-3.2205040532997056,-5.62430605988062,0.0,0.0,0.0,1.0,MV01,1020.0,MV01,1.0,MV01,MV01,MV01,1.0723440272,7.058271694,9.6602469136,MV01,MV01,MV01,1.559307821,1.3343546879
6.1098053445E10,0.0,2.0,635.0,466.0,1.0,33.0,14.0,8.0,0.0,16.0,1.0,0.0,283.0,0.75,0.0,3264.0,14731.0,3.0E-4,1.0E-4,0.0,0.0287,0.0,8.0E-4,3.0E-4,0.0044,0.0623,-6.907755278982137,-6.907755278982137,-6.907755278982137,-6.907755278982137,-6.214608098422191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.005103078651481238,-6.142056023651419,-4.905641511089474,-6.339810638309643,-2.808378782121654,-4.550619478189169,-5.277911264226361,-2.530023244893635,-5.62430605988062,1.0,0.0,0.0,1.0,1.0,1015.0,MV01,1.0,MV01,MV01,MV01,7.028021978,MV01,MV01,MV01,MV01,MV01,MV01,MV01
6.1098054364E10,0.0,0.0,2827.0,1841.0,1.0,6.0,3.0,1.0,0.0,15.0,1.0,0.0,-1.0,0.0,0.0,2331.0,16.0,2.0E-4,0.0012,2.0E-4,0.0,0.0,3.0E-4,0.0021,0.0025,0.0467,-6.907755278982137,-6.907755278982137,-6.907755278982137,-5.2030071867437115,-6.812445099177812,0.0010,0.009569732032471023,0.0010,0.01,0.0010,0.0030,0.0,0.0,0.0,0.0,0.0024930937445934147,-6.142056023651419,-1.3244221546465162,-3.697555336584646,-6.907755278982137,-4.72981749230301,-5.994230872021577,-2.989924082238998,-5.62430605988062,1.0,0.0,1.0,0.0,MV01,10.0,MV01,1.0,MV01,MV01,MV01,0.3410682036,0.2700752707,0.3936230861,MV01,MV01,MV01,MV01,MV01
6.1098055091E10,0.0,2.0,2097.0,887.0,1.0,43.0,16.0,3.0,0.0,53.0,3.0,0.0,585.0,0.0,0.0,1229.0,50241.0,1.0E-4,4.0E-4,1.0E-4,4.0E-4,2.0E-4,3.0E-4,4.0E-4,0.0015,0.0391,-6.907755278982137,-6.907755278982137,-6.907755278982137,-6.571283042360924,-6.907755278982137,0.0,4.065489727651692E-4,0.0,0.0,0.0010,0.0020,0.0,0.0,0.0010,0.0010,0.0019431240744262382,-6.142056023651419,-6.907755278982137,-6.7883608329181016,-6.907755278982137,-6.907755278982137,-6.243458253483958,-3.6412324596453294,-5.62430605988062,1.0,0.0,0.0,1.0,MV01,1003.0,MV01,1.0,MV01,MV01,MV01,0.0675800513,0.1593248464,MV01,MV01,MV01,MV01,MV01,MV01
6.1098060665E10,0.0,2.0,1336.0,666.0,1.0,104.0,16.0,3.0,0.0,13.0,1.0,0.0,419.0,0.0,0.0,419.0,895.0,3.0E-4,3.0E-4,6.0E-4,0.0477,0.0,3.0E-4,3.0E-4,0.0026,0.0477,-6.907755278982137,-6.907755278982137,-6.2659013928097425,-5.051457288616511,-6.725433722188183,0.0010,9.014878404945756E-4,0.0020,0.0010,-1.0,0.0030,0.0020,0.0,-1.0,0.094,0.00342048664480471,-6.142056023651419,-4.258375067811569,-4.059697230236834,-2.1924601937502697,-4.359993949452561,-5.67797244422788,-2.8085177215406385,-5.62430605988062,1.0,0.0,1.0,1.0,1.0,1009.0,MV01,1.0,MV01,MV01,MV01,0.6829248305,0.7692307692,0.6666666667,MV01,MV01,MV01,MV01,MV01
