ato_bad|unit_weight|radd_timezone_3_2|radd_max_pmt_s_3|SNR1wRtDolDclTxn|max_cross20wRtDclAcc|login_VIDMatch|seg|dollar_weight|ip_asp_spoof_txns|vid_asp_spoof_txns|Intercept|time_window|wSNR1wRtDolDclTxn_s1|wip_asp_spoof_txns_s1|wlogin_VIDMatch_s1|wmax_cross20wRtDclAcc_s1|wradd_max_pmt_s_3_s1|wradd_timezone_3_2_s1|wvid_asp_spoof_txns_s1|new_score|align_new_score|wSNR1wRtDolDclTxn_s2|wip_asp_spoof_txns_s2|wlogin_VIDMatch_s2|wmax_cross20wRtDclAcc_s2|wradd_max_pmt_s_3_s2|wradd_timezone_3_2_s2
0|25||26.08|0.0655|0.0357|0|2|500|0|0|1|DEV|0.089438|-0.119505|0.209014|-0.098116|0.262126|-0.199666|-0.090233|8.1345235963|376||||||
0|25||77.67|0|0.0516|1|1|175|37697|0|1|DEV|-0.105449|0.841029|-0.134574|-0.038997|0.043156|-0.199666|-0.090233|8.1332769064|376||||||
0|10||70.80|0.0655|0.1014|2|2|33390|4824|0|1|DEV|0.089438|1.415797|1.153454|0.316717|0.043156|-0.199666|-0.090233|6.1388191816|492||||||
0|25||785.35|0|0.0297|0|2|725|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.176481|-0.203081|-0.199666|-0.090233|8.8221594714|337||||||
0|25||109.53|0|0.0276|1|1|125|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.340624|0.043156|-0.199666|-0.090233|9.0048410867|326||||||
0|100||138.83|0|0.0319|1|1|6300|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.098116|0.043156|-0.199666|-0.090233|8.8220828286|337||||||
0|100|-400|206.93|0|0.0714|0|2|1200|0|0|1|DEV|-0.105449|-0.119505|0.209014|0.316717|0.043156|0.355722|-0.090233|7.7311226896|400||||||
0|500||127.65|0|0.0319|1|1|14000|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.098116|0.043156|-0.199666|-0.090233|8.8220828286|337||||||
0|2||123.55|0.0655|0.066|0|1|260|0|0|1|DEV|0.089438|-0.119505|0.209014|-0.038997|0.043156|-0.199666|-0.090233|8.3248735433|365||||||
0|25|||0.0655|0.0647|2|2|350|0|0|1|DEV|0.089438|-0.119505|1.153454|-0.038997|0.85329|-0.199666|-0.090233|6.567572418|467||||||
0|10|700|2600.00|0.0655|0.0398|2|2|9740|0|0|1|DEV|0.089438|-0.119505|1.153454|-0.038997|-0.544985|0.806779|-0.090233|7.2427013316|428||||||
0|800||411.00|0.0655|0.0357|0|2|42400|0|0|1|DEV|0.089438|-0.119505|0.209014|-0.098116|-0.203081|-0.199666|-0.090233|8.6335807556|348||||||
0|100|-400|206.93|0|0.0714|0|2|900|0|0|1|DEV|-0.105449|-0.119505|0.209014|0.316717|0.043156|0.355722|-0.090233|7.7311226896|400||||||
0|25||785.35|0|0.0297|0|2|325|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.176481|-0.203081|-0.199666|-0.090233|8.8221594714|337||||||
0|10|800|63.97|0|0.0441|1|1|90|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.038997|0.043156|0.956686|-0.090233|7.829775167|394||||||
0|100||49.84|0|0.0319|1|1|6300|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.098116|0.262126|-0.199666|-0.090233|8.5871797722|350||||||
0|100||785.00|0|0.0369|1|1|51200|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.038997|-0.203081|-0.199666|-0.090233|9.0416838221|324||||||
0|100||383.21|0.0655|0.0896|1|1|5200|0|0|1|DEV|0.089438|-0.119505|-0.134574|0.316717|-0.203081|-0.199666|-0.090233|8.6440900629|347||||||
1|1|||0.0655|0.0319|2|2|173|0|0|1|DEV|0.089438|-0.119505|1.153454|-0.098116|0.85329|-0.199666|-0.090233|6.6121255274|464||||||
0|200||494.62|0|0.0297|0|2|1000|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.176481|-0.203081|-0.199666|-0.090233|8.8221594714|337||||||
0|100|930|223.65|0.0655|0.0319|1|1|700|0|0|1|DEV|0.089438|-0.119505|-0.134574|-0.098116|-0.203081|0.956686|-0.090233|8.0089608943|384||||||
2|10|||0.0655|0.5|2|2|260|0|0|1|DEV|0.089438|-0.119505|1.153454|0.316717|0.85329|-0.199666|-0.090233|6.2995001439|482||||||
0|800|-400|911.59|0.0655|0.0346|0|1|38400|0|0|1|DEV|0.089438|-0.119505|0.209014|-0.098116|-0.203081|0.355722|-0.090233|8.1783806909|374||||||
1|1|700|37.49|0.0655|0.0366|0|2|59|0|0|1|DEV|0.089438|-0.119505|0.209014|-0.038997|0.262126|0.806779|-0.090233|7.2650808077|427||||||
0|100||293.60|0|0.0366|0|2|3500|0|0|1|DEV|-0.105449|-0.119505|0.209014|-0.038997|-0.203081|-0.199666|-0.090233|8.7185491312|343||||||
0|25||28.59|0|0.0928|0|2|100|0|0|1|DEV|-0.105449|-0.119505|0.209014|0.316717|0.262126|-0.199666|-0.090233|7.9514196979|387||||||
0|50|800|67.99|0|0.0486|1|1|550|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.038997|0.043156|0.956686|-0.090233|7.829775167|394||||||
0|25||112.06|0|0.0483|1|1|425|0|0|1|DEV|-0.105449|-0.119505|-0.134574|-0.038997|0.043156|-0.199666|-0.090233|8.7775297192|339||||||
